maseches code,Perek,chelek number,chelek number  v1
1,1,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,1,1
1,6,2,2
1,7,2,2
1,8,2,2
1,9,2,2
2,1,3,3
2,2,3,3
2,3,3,3
2,4,3,3
2,5,4,4
2,6,4,4
2,7,4,4
2,8,4,4
3,1,5,5
3,2,5,5
3,3,5,5
3,4,5,5
3,5,6,5
3,6,6,5
3,7,6,5
4,1,7,6
4,2,7,6
4,3,7,6
4,4,7,6
4,5,8,7
4,6,8,7
4,7,8,7
4,8,8,7
4,9,8,7
5,1,9,8
5,2,9,8
5,3,9,8
5,4,9,8
5,5,9,8
5,6,10,9
5,7,10,9
5,8,10,9
5,9,10,9
5,10,10,9
6,1,11,10
6,2,11,10
6,3,11,10
6,4,11,10
6,5,12,10
6,6,12,10
6,7,12,11
6,8,12,11
6,9,13,11
6,10,13,11
6,11,13,11
7,1,14,12
7,2,14,12
7,3,14,12
7,4,14,12
7,5,14,12
8,1,15,13
8,2,15,13
8,3,15,13
8,4,15,13
8,5,15,13
9,1,16,14
9,2,16,14
9,3,16,14
9,4,16,14
10,1,17,15
10,2,17,15
10,3,17,15
11,1,18,16
11,2,18,16
11,3,18,16
11,4,18,16
12,1,19,17
12,2,19,17
12,3,19,17
12,4,19,17
12,5,19,17
12,6,20,18
12,7,20,18
12,8,20,18
12,9,20,18
12,10,20,18
12,11,21,19
12,12,21,19
12,13,21,19
12,14,21,19
12,15,21,19
12,16,22,20
12,17,22,20
12,18,22,20
12,19,22,20
12,20,23,21
12,21,23,21
12,22,23,21
12,23,23,21
12,24,23,21
13,1,24,22
13,2,24,22
13,3,24,22
13,4,24,22
13,5,24,22
13,6,25,23
13,7,25,23
13,8,25,23
13,9,25,23
13,10,25,23
14,1,26,24
14,2,26,24
14,3,26,24
14,4,26,24
14,5,26,24
14,6,27,25
14,7,27,25
14,8,27,25
14,9,27,25
14,10,27,25
15,1,28,26
15,2,28,26
15,3,28,26
15,4,28,26
15,5,29,27
15,6,29,27
15,7,29,27
15,8,29,27
16,1,30,28
16,2,30,28
16,3,30,28
16,4,30,28
16,5,31,29
16,6,31,29
16,7,31,29
16,8,31,29
17,1,32,30
17,2,32,30
17,3,32,30
17,4,32,30
17,5,32,30
18,1,33,31
18,2,33,31
18,3,33,31
18,4,33,31
18,5,33,31
19,1,34,32
19,2,34,32
19,3,34,32
19,4,34,32
20,1,35,33
20,2,35,33
20,3,35,33
20,4,35,33
21,1,36,34
21,2,36,34
21,3,36,34
21,4,36,34
22,1,37,35
22,2,37,35
22,3,37,35
23,1,38,36
23,2,38,36
23,3,38,36
24,1,39,37
24,2,39,37
24,3,39,37
24,4,39,37
24,5,39,37
24,6,39,37
24,7,40,38
24,8,40,38
24,9,40,38
24,10,40,38
24,11,40,38
24,12,41,39
24,13,41,39
24,14,41,39
24,15,41,39
24,16,41,39
25,1,42,40
25,2,42,40
25,3,42,40
25,4,42,40
25,5,43,41
25,6,43,41
25,7,43,41
25,8,43,41
25,9,44,42
25,10,44,42
25,11,44,42
25,12,44,42
25,13,44,42
26,1,45,43
26,2,45,43
26,3,45,43
26,4,45,43
26,5,45,43
26,6,45,43
26,7,46,44
26,8,46,44
26,9,46,44
26,10,46,44
26,11,46,44
27,1,47,45
27,2,47,45
27,3,47,45
27,4,47,45
27,5,48,46
27,6,48,46
27,7,48,46
27,8,48,46
27,9,48,46
28,1,49,47
28,2,49,47
28,3,49,47
28,4,49,47
28,5,49,47
28,6,50,48
28,7,50,48
28,8,50,48
28,9,50,48
29,1,51,49
29,2,51,49
29,3,51,49
29,4,51,49
29,5,51,49
29,6,52,50
29,7,52,50
29,8,52,50
29,9,52,50
30,1,53,51
30,2,53,51
30,3,53,51
30,4,53,51
31,1,54,52
31,2,54,52
31,3,54,52
31,4,54,52
31,5,54,52
31,6,55,53
31,7,55,53
31,8,55,53
31,9,55,53
31,10,55,53
32,1,56,54
32,2,56,54
32,3,56,54
32,4,56,54
32,5,56,54
32,6,57,55
32,7,57,55
32,8,57,55
32,9,57,55
32,10,57,55
33,1,58,56
33,2,58,56
33,3,58,56
33,4,58,56
33,5,58,56
33,6,59,57
33,7,59,57
33,8,59,57
33,9,59,57
33,10,59,57
34,1,60,58
34,2,60,58
34,3,60,58
34,4,60,58
34,5,60,58
34,6,60,58
34,7,61,59
34,8,61,59
34,9,61,59
34,10,61,59
34,11,61,59
35,1,62,60
35,2,62,60
35,3,62,60
36,1,63,61
36,2,63,61
36,3,63,61
36,4,63,61
36,5,64,62
36,6,64,62
36,7,64,62
36,8,64,62
37,1,65,63
37,2,65,63
37,3,65,63
37,4,66,64
37,5,66,64
37,6,66,64
37,7,66,64
37,8,66,64
38,1,67,65
38,2,67,65
38,3,67,65
38,4,67,65
38,5,67,65
39,1,68,66
39,2,68,66
39,3,68,66
39,4,69,67
39,5,69,67
39,6,69,67
40,1,70,68
40,2,70,68
40,3,70,68
41,1,71,69
41,2,71,69
41,3,71,69
41,4,71,69
41,5,71,69
41,6,71,69
41,7,72,70
41,8,72,70
41,9,72,70
41,10,72,70
41,11,73,71
41,12,73,71
41,13,73,71
41,14,73,71
42,1,74,72
42,2,74,72
42,3,74,72
42,4,74,72
42,5,74,72
42,6,75,73
42,7,75,73
42,8,75,73
42,9,75,73
42,10,76,74
42,11,76,74
42,12,76,74
42,13,76,74
43,1,77,75
43,2,77,75
43,3,77,75
43,4,77,75
43,5,77,75
43,6,77,75
43,7,78,76
43,8,78,76
43,9,78,76
43,10,78,76
43,11,78,76
43,12,78,76
44,1,79,77
44,2,79,77
44,3,79,77
44,4,79,77
44,5,79,77
44,6,80,78
44,7,80,78
44,8,80,78
44,9,80,78
45,1,81,79
45,2,81,79
45,3,81,79
45,4,81,79
45,5,81,79
45,6,82,80
45,7,82,80
45,8,82,80
45,9,82,80
46,1,83,81
46,2,83,81
46,3,83,81
46,4,83,81
46,5,83,81
46,6,83,81
46,7,83,81
47,1,84,82
47,2,84,82
47,3,84,82
47,4,84,82
47,5,84,82
47,6,84,82
48,1,85,83
48,2,85,83
48,3,85,83
48,4,85,83
48,5,85,83
48,6,85,83
49,1,86,84
49,2,86,84
49,3,86,84
49,4,86,84
49,5,86,84
49,6,86,84
49,7,86,84
50,1,87,85
50,2,87,85
50,3,87,85
50,4,87,85
50,5,87,85
51,1,88,86
51,2,88,86
51,3,88,86
52,1,89,87
52,2,89,87
52,3,89,87
52,4,89,87
52,5,90,88
52,6,90,88
52,7,90,88
52,8,90,88
52,9,91,89
52,10,91,89
52,11,91,89
52,12,91,89
52,13,92,90
52,14,92,90
52,15,92,90
52,16,92,90
52,17,93,91
52,18,93,91
52,19,93,91
52,20,94,92
52,21,94,92
52,22,94,92
52,23,94,92
52,24,95,93
52,25,95,93
52,26,95,93
52,27,96,94
52,28,96,94
52,29,96,94
52,30,96,94
53,1,97,95
53,2,97,95
53,3,97,95
53,4,97,95
53,5,97,95
53,6,98,96
53,7,98,96
53,8,98,96
53,9,98,96
53,10,99,97
53,11,99,97
53,12,99,97
53,13,99,97
53,14,100,98
53,15,100,98
53,16,100,98
53,17,100,98
53,18,100,98
54,1,101,99
54,2,101,99
54,3,101,99
54,4,101,99
54,5,102,100
54,6,102,100
54,7,102,100
54,8,102,100
54,9,103,101
54,10,103,101
54,11,103,101
54,12,104,102
54,13,104,102
54,14,104,102
55,1,105,103
55,2,105,103
55,3,105,103
55,4,105,103
55,5,106,104
55,6,106,104
55,7,106,104
55,8,106,104
55,9,107,105
55,10,107,105
55,11,107,105
55,12,107,105
56,1,108,106
56,2,108,106
56,3,108,106
56,4,108,106
56,5,109,107
56,6,109,107
56,7,109,107
56,8,110,108
56,9,110,108
56,10,110,108
57,1,111,109
57,2,111,109
57,3,111,109
57,4,111,109
57,5,111,109
57,6,112,110
57,7,112,110
57,8,112,110
57,9,112,110
57,10,112,110
58,1,113,111
58,2,113,111
58,3,113,111
58,4,113,111
58,5,113,111
58,6,114,112
58,7,114,112
58,8,114,112
58,9,114,112
58,10,114,112
59,1,115,113
59,2,115,113
59,3,115,113
59,4,116,114
59,5,116,114
59,6,116,114
60,1,117,115
60,2,117,115
60,3,117,115
60,4,117,115
60,5,117,115
61,1,118,116
61,2,118,116
61,3,118,116
61,4,118,116
62,1,119,117
62,2,119,117
62,3,119,117
62,4,119,117
63,1,120,118
63,2,120,118
63,3,120,118
